triplet,outgroup,C1,C2,mixprop1,mixprop2,lambda2Dist,lambda1Dist,BIC2Dist,BIC1Dist,count
HmelRef_HeraRef_Hhim,HmelRef,0.0,2.4475303406494437,0.0054080824554879805,0.994591917544512,0.04214035605075777,0.11975466199120001,7.4597476849041335,-8.747971514293608,5000
HmelRef_HeraRef_Hhim,HeraRef,0,0,0,0,0,0,0,0,0
HmelRef_HeraRef_Hhim,Hhim,0,0,0,0,0,0,0,0,0
HmelRef_HeraRef_Hhsa,HmelRef,0.0,1.9848104975259722,0.009607780493993143,0.990392219506007,0.03948623815608092,0.09548625019120001,7.308288032903942,-9.115583800009388,5000
HmelRef_HeraRef_Hhsa,HeraRef,0,0,0,0,0,0,0,0,0
HmelRef_HeraRef_Hhsa,Hhsa,0,0,0,0,0,0,0,0,0
HmelRef_HeraRef_Htel,HmelRef,0.0,1.973089048291128,0.00817742749767358,0.9918225725023265,0.03717524660811824,0.0894550121912,7.238081086811821,-9.210065818619201,5000
HmelRef_HeraRef_Htel,HeraRef,0,0,0,0,0,0,0,0,0
HmelRef_HeraRef_Htel,Htel,0,0,0,0,0,0,0,0,0
HmelRef_HeraRef_Hdem,HmelRef,0.0,2.062865485412799,0.010898193192144589,0.9891018068078553,0.034243968159593366,0.08519291057331467,7.174732458803412,-9.277748652355982,4999
HmelRef_HeraRef_Hdem,HeraRef,0,0,0,0,0,0,0,0,0
HmelRef_HeraRef_Hdem,Hdem,0,0,0,0,0,0,0,0,0
HmelRef_HeraRef_Hsar,HmelRef,0.0,2.0743999829092132,0.008335339428442272,0.9916646605715578,0.03401962041140671,0.08506158978098098,7.163635919791201,-9.279056169685866,4995
HmelRef_HeraRef_Hsar,HeraRef,0,0,0,0,0,0,0,0,0
HmelRef_HeraRef_Hsar,Hsar,0,0,0,0,0,0,0,0,0
HmelRef_Hhim_Hhsa,HmelRef,0.0,1.982275632256208,0.009253016616415099,0.990746983383585,0.039509692156613915,0.0954772449912,7.307686356799927,-9.115723645654315,5000
HmelRef_Hhim_Hhsa,Hhim,0,0,0,0,0,0,0,0,0
HmelRef_Hhim_Hhsa,Hhsa,0,0,0,0,0,0,0,0,0
HmelRef_Hhim_Htel,HmelRef,0.0,1.9624714007046111,0.007982205692227375,0.9920177943077728,0.03734928314047444,0.0895663165912,7.240689091739366,-9.208306261976736,5000
HmelRef_Hhim_Htel,Hhim,0,0,0,0,0,0,0,0,0
HmelRef_Hhim_Htel,Htel,0,0,0,0,0,0,0,0,0
HmelRef_Hhim_Hdem,HmelRef,0.0,2.0627432667058834,0.012024043547231725,0.9879759564527684,0.034258456270639705,0.08520346088337667,7.17790847401065,-9.277579340526778,4999
HmelRef_Hhim_Hdem,Hhim,0,0,0,0,0,0,0,0,0
HmelRef_Hhim_Hdem,Hdem,0,0,0,0,0,0,0,0,0
HmelRef_Hhim_Hsar,HmelRef,0.0,2.0676125111468644,0.009060598181204376,0.9909394018187955,0.034116934202952996,0.08510455014134134,7.166969179917729,-9.278366444709405,4995
HmelRef_Hhim_Hsar,Hhim,0,0,0,0,0,0,0,0,0
HmelRef_Hhim_Hsar,Hsar,0,0,0,0,0,0,0,0,0
HmelRef_Hhsa_Htel,HmelRef,0.0,1.9746701566982297,0.006568046396780853,0.9934319536032191,0.038964887244081876,0.0936617101912,7.286960661682773,-9.14398904946844,5000
HmelRef_Hhsa_Htel,Hhsa,0,0,0,0,0,0,0,0,0
HmelRef_Hhsa_Htel,Htel,0,0,0,0,0,0,0,0,0
HmelRef_Hhsa_Hdem,HmelRef,0.0,2.0455938448493236,0.012020280068958597,0.9879797199310413,0.03521407740904986,0.08718639427005401,7.2025439568403335,-9.245872397810537,4999
HmelRef_Hhsa_Hdem,Hhsa,0,0,0,0,0,0,0,0,0
HmelRef_Hhsa_Hdem,Hdem,0,0,0,0,0,0,0,0,0
HmelRef_Hhsa_Hsar,HmelRef,0.0,2.045262161077024,0.008403634158316539,0.9915963658416834,0.035185171548915144,0.08721341360480481,7.192425023317838,-9.244641429260977,4995
HmelRef_Hhsa_Hsar,Hhsa,0,0,0,0,0,0,0,0,0
HmelRef_Hhsa_Hsar,Hsar,0,0,0,0,0,0,0,0,0
HmelRef_Htel_Hdem,HmelRef,0.0,2.0371145438253344,0.00959341580817021,0.99040658419183,0.03507078196292415,0.08671909180956192,7.190932525027073,-9.25332421833362,4999
HmelRef_Htel_Hdem,Htel,0,0,0,0,0,0,0,0,0
HmelRef_Htel_Hdem,Hdem,0,0,0,0,0,0,0,0,0
HmelRef_Htel_Hsar,HmelRef,0.0,2.028963982190402,0.006368745739614795,0.9936312542603851,0.03512344261679083,0.08678217696816817,7.181421930608959,-9.251517034461482,4995
HmelRef_Htel_Hsar,Htel,0,0,0,0,0,0,0,0,0
HmelRef_Htel_Hsar,Hsar,0,0,0,0,0,0,0,0,0
HmelRef_Hdem_Hsar,HmelRef,0.0,2.257726016320972,0.006735341720618203,0.9932646582793819,0.0384511669584527,0.10294691388786545,7.321963253814587,-8.999596182242941,4994
HmelRef_Hdem_Hsar,Hdem,0,0,0,0,0,0,0,0,0
HmelRef_Hdem_Hsar,Hsar,0,0,0,0,0,0,0,0,0
HeraRef_Hhim_Hhsa,HeraRef,0.0,5.752658302269445,0.9290791955529006,0.07092080444709957,0.017830539310762568,0.025056192771084333,2.4179138828310744,-6.395419023446539,83
HeraRef_Hhim_Hhsa,Hhim,0.0,28.07801738613109,0.9895833324531195,0.010416667546880554,0.017123823003168618,0.022132187499999994,2.3656862425958316,-6.63123117187766,96
HeraRef_Hhim_Hhsa,Hhsa,0.0,1.6511205052951934,0.006806734324702602,0.9931932656752972,0.01234373865180495,0.0256101947728687,6.2567338611637275,-10.440968231610103,4821
HeraRef_Hhim_Htel,HeraRef,0.0,21.302267291744176,0.9818181567382853,0.01818184326171467,0.028831109458382607,0.039997799999999986,2.221025714907803,-5.601384125501611,55
HeraRef_Hhim_Htel,Hhim,0.0,27.659891099356074,0.9861111065232259,0.013888893476773936,0.01648965277417951,0.022824402777777777,2.0646927040407093,-6.321514029888291,72
HeraRef_Hhim_Htel,Htel,0.0,1.7244601622878877,0.008329903920160368,0.9916700960798396,0.014724608057232096,0.03142655571516519,6.398755900283373,-10.291870684164698,4873
HeraRef_Hhim_Hdem,HeraRef,0.0,4.205826608603809,0.9383660899848576,0.061633910015142464,0.024388309254158892,0.032288596153846154,2.1804883601004548,-5.729527689996829,52
HeraRef_Hhim_Hdem,Hhim,0.0,21.43781165787622,0.9818177642155216,0.018182235784478695,0.02127549244665696,0.029568472727272727,1.986526112688626,-5.856681447467104,55
HeraRef_Hhim_Hdem,Hdem,0.0,1.6664790248352235,0.009770490464500526,0.9902295095354994,0.016973510964410028,0.03566732393214797,6.495542712972732,-10.190316867374907,4893
HeraRef_Hhim_Hsar,HeraRef,0.0,15.016778488675742,0.9814816175776664,0.01851838242233366,0.027639150455138758,0.03532527777777778,2.169669662103516,-5.691981939432974,54
HeraRef_Hhim_Hsar,Hhim,0.0,21.38755784554133,0.9827585528320624,0.017241447167937587,0.021325482941713388,0.029189275862068962,2.0381124453367274,-5.920004790559422,58
HeraRef_Hhim_Hsar,Hsar,0.0,1.6370663206972602,0.007134451753508836,0.9928655482464913,0.017278469199679344,0.03592136804418985,6.500476272408086,-10.183202247876286,4888
HeraRef_Hhsa_Htel,HeraRef,0.0,0.8290148254602108,0.05924157898762003,0.9407584210123802,0.009259183025754484,0.01350030413385827,5.127408058483102,-10.007674815866642,2032
HeraRef_Hhsa_Htel,Hhsa,0.0,0.28723003015432647,0.32633967399482977,0.6736603260051705,0.01187201769316333,0.013166930041152264,3.7594720070979335,-8.592181395541399,486
HeraRef_Hhsa_Htel,Htel,0.0,0.683095866992901,0.05569463305377039,0.9443053669462297,0.010743733573308635,0.014728170024174054,5.390596712465644,-10.154335893128536,2482
HeraRef_Hhsa_Hdem,HeraRef,0.0,0.520234474355708,0.17862249782772005,0.8213775021722799,0.010404923677354924,0.012938932114882506,4.585373401653001,-9.463083549656599,1149
HeraRef_Hhsa_Hdem,Hhsa,0.0,0.28774969906213743,0.6443000881143668,0.35569991188563316,0.013775861496710036,0.014587523809523809,3.4693938873238785,-8.160581780340069,336
HeraRef_Hhsa_Hdem,Hdem,0.0,0.5106139075852357,0.056951640763432086,0.9430483592365679,0.0126553544743027,0.01606068250355619,5.808850310027246,-10.447743094279828,3515
HeraRef_Hhsa_Hsar,HeraRef,0.0,0.4844769893312186,0.14464813336295052,0.8553518666370494,0.01097265735435301,0.013516888792354473,4.611153767774756,-9.43854234558275,1151
HeraRef_Hhsa_Hsar,Hhsa,0.0,0.2952038311526068,0.7528001585683232,0.24719984143167686,0.013766759002186185,0.01435695223880597,3.459430760229175,-8.167449454241906,335
HeraRef_Hhsa_Hsar,Hsar,0.0,0.4921264653916801,0.052200007849601666,0.9477999921503985,0.012958051331225582,0.016322762948207174,5.819244978275066,-10.437093542341382,3514
HeraRef_Htel_Hdem,HeraRef,0.0,0.39577727006515045,0.237618662273919,0.7623813377260811,0.009869187281414666,0.011532822656776805,4.7888661950930285,-9.785837681925852,1483
HeraRef_Htel_Hdem,Htel,0.0,0.5874433891254704,0.17132453915591284,0.8286754608440872,0.007978641153792806,0.01023088120950324,4.230614072389141,-9.382909218484263,926
HeraRef_Htel_Hdem,Hdem,0.0,0.4567873460651922,0.10629120318498404,0.8937087968150159,0.00969159946774923,0.01191412466229255,5.341207544442554,-10.324937566580004,2591
HeraRef_Htel_Hsar,HeraRef,0.0,0.35743916210948545,0.21682675454504555,0.7831732454549544,0.010468914424250486,0.012080436997319035,4.820930684250236,-9.76491163924888,1492
HeraRef_Htel_Hsar,Htel,0.0,0.5599771956202352,0.1590915524510349,0.8409084475489651,0.008096758288483705,0.010294409388646288,4.222812958266221,-9.368592379954306,916
HeraRef_Htel_Hsar,Hsar,0.0,0.4325113215838512,0.11063122364688488,0.8893687763531151,0.01010378175534715,0.01227704436728395,5.361734059412889,-10.307750080628683,2592
HeraRef_Hdem_Hsar,HeraRef,0.0,0.9509499689530488,0.0327933792034084,0.9672066207965916,0.013008045011683199,0.020152116793066086,6.16547018687838,-10.569552441485575,4615
HeraRef_Hdem_Hsar,Hdem,0.0,5.47442236643192,0.917746875198134,0.08225312480186601,0.014020291980142832,0.02025683870967742,3.0817354332020646,-7.354659688853005,186
HeraRef_Hdem_Hsar,Hsar,0.0,4.984392424320677,0.8930830645157214,0.1069169354842787,0.0156392180558745,0.023942165829145726,3.2729210242185545,-7.303456245116335,199
Hhim_Hhsa_Htel,Hhim,0.0,0.8287601502637801,0.06385813004511001,0.9361418699548901,0.00925237536766145,0.013479049534085337,5.130986916483792,-10.012067014648297,2039
Hhim_Hhsa_Htel,Hhsa,0.0,0.2533674987895797,0.3737318406182785,0.6262681593817214,0.013214007384508678,0.01438770841889117,3.8198374532716812,-8.5402630818829,487
